id,titulo,genero,actor1,actor2,actor3,director,anio,calidad,formato,sinopsis
2206,INTO THE WEST,Western,Joseph Marshall,Irene Bedard,Gil Birmingham,Robert Dornhelm y otr,2005,Color,DVD,Serie TV. No estrenada en salas
2207,LA BALADA DE LEFTY BROWN,Western,Bill Pulman,Kathy Baker,Jim Caviezel,Jared Moshe,2017,Color,DVD,No estrenada en salas
2208,NOCHE SALVAJE (Infierno en el desierto),Western,Dale Robertson,Virginia Mayo,Stephen Mcnally,Alfred Werker,1953,Color,DVD,21-12-1954 Trocadero
2209,THE HOMESMAN,Western,Tommy Lee Jones,Hilary Swank,Meryl Streep,Tommy Lee Jones,2014,Color,DVD,No estrenada en salas en Montevideo
2210,QUE PASO CON BABY JANE?,Suspenso,Bette Davis,Joan Carwford,Victor Buoni,Robert Aldrich,1962,B&N,DVD,24-04-1964 18 de julio
2211,L. A. CONFIDENTIAL (Los Angeles al desnudo),Policial,Kevin Spacey,Russell Crowe,Guy Pearce,Curtis Hanson,1997,Color,DVD,"21-11-1997 Nuevo 18, P Carretas, Plaza Arocena"
2216,NACE UNA CANCION,Musical,Danny Kaye,Virginia Mayo,Steve Cochran,Howard Hawks,1947,Color,DVD,8-03-1950 California
2212,PROBLEMAS DE ALCOBA,Comedia,Rock Hudson,Doris Day,Tony Randall,Michael Gordon,1959,Color,DVD,21-07-1960 Censa
2213,MUSICA Y LAGRIMAS (The Glenn Miller Story),Drama,James Stewart,June Allyson,Harry Morgan,Anthony Mann,1954,Color,DVD,12-07-1954 Censa
2217,NOSFERATU,Terror,Max Schreck,Gustav Von Wangenheim,Greta Schroeder,F.W. Murnau,1922,B&N,DVD,
2214,EL AVENTURERO DE HONG KONG,Aventuras,Clark Gable,Susan Hayward,Gene Barry,Edward Dmytryk,1955,Color,DVD,22-09-1955 Censa
2215,FLAWLESS (Nadie es Perfecto),Drama,Robert De Niro,Philip Seymour Hoffman,Barry Miller,Joel Schumacher,1999,Color,DVD,"1-09-2000 Ejido, Moviecenter Montevideo, Portones"
285,EL HOMBRE QUE MATO A LIBERTY BALANCE,Western,John Wayne,James Stewart,Vera Miles,John Ford,1962,ByN,DVD,
2219,THE JACK BULL,Western,John Cusack,John Goodman,L.Q. Jones,John Badham,1999,Color,DVD,
2218,ACOSADOS (Violencia),Cine Negro,Robert Cummings,Michele Morgan,Steve Cochran,Arthur Ripley,1946,B&N,DVD,18-02-1948 Trocadero
2220,FALSO CULPABLE (El hombre equivocado),Suspenso,Henry Fonda,Vera Miles,Anthony Quayle,Alfred Hitchcock,1956,B&N,DVD,"19-05-1958 Iguazú, El Polvorín"
2222,RUMBO A JAVA,Aventuras,Fred MacMurray,Vera Ralston,Robert Douglas,Joseph Kane,1953,Color,DVD,"3-09-1956 Iguazu
Es a bordo de su velero que el Cap Boll (Fred MacMurray) se acerca a las costas de la Isla de Java en busca de un tesoro, pero no es el único, un pirata que se hace llamar Saint Ebenezer (Robert Douglas) surca también la región detrás de las piedras preciosas. El enfrentamiento parece inevitable. Y para completar, la exploración se verá comprometida por rl volcán Krakatoa qu está a punto de estallar."
2223,OZ EL PODEROSO,Ciencia Ficción,James Franco,Mila Kumis,Rachel Weisz,Sam Raimi,2013,Color,DVD,"8-03-2013 Moie Center, Grupo Cine"
2224,DISTINTO AMANECER,Drama,Andrea Palma,Pedro Armendáriz,Alberto Galán,Julio Bracho,1943,B&N,DVD,21-01-1948 Continental
2225,CALLE RIVER 99 (Asesinato en el muelle),Cine Negro,John Payne,Evelyn Keyes,Brad Dexter,Phil Karlson,1953,B&N,DVD,27-09-1954 Trocadero
2227,LA SOMBRA DE UNA DUDA,Suspenso,Joseph Cotten,Teresa Wright,Macdonald Carey,Alfred Hitchcock,1942,B&N,DVD,22-09-1943 Trocadero
2226,CHEYENNE  (1era Temporada),Western,Clint Walker,James Garner,L Q Jones,Varios,1955,B&N,DVD,
2228,AGENTE SECRETO,Suspenso,John Gielgud,Peter Lorre,Madeleine Carroll,Alfred Hitchcock,1936,B&N,DVD,23-01-1937 Rex
2229,TOPAZ,Suspenso,John Forsythe,Frederick Stafford,Philippe Noiret,Alfred Hitchcock,1969,Color,DVD,14-05.1970 Censa
2230,COMO EN LOS VIEJOS TIEMPOS,Comedia,Goldie Hawn,Chevy Chase,Charles Grodin,Jay Sandrich,1980,Color,DVD,"30-04-1981. Central
Titulo local ""Parece que fue ayer""
 Nick Gardenia (Chevy Chase) es un escritor que es secuestrado por por dos ladrones de poca monta que lo obligan a participar en un atraco a un banco. No tiene otro remedio que recurrir a su ex esposa (Goldie Hawn)para refugiarse en su casa. El problema es ocultarle a su actual esposo (Charles Grodin) la situación.
 Película que cuenta con actores geniales, un argumento disparatado y situaciones increiblemente divertidas."
2231,EL TRAMPOSO (Boots Malone),Drama,William Holden,Johnny Stewart,Stanley Clements,William Dieterle,1952,B&N,DVD,"20-01-1953 Eliseo
 Un representante de jinetes de carreras, ve la oportundad de hacer un gran negocio gracias a un chico que es un prometedor jockey. Tras ganarse su confianza, el manager utiliza al joven para tratar de lograr sus fines."
2232,LOS PUENTES DE TOKO RI,Drama,William Holden,Grace Kelly,Fredric March,Mark Robson,1954,Color,DVD,"8-08-1955 Iguazú, El Polvorin
 Un veterano de la segunda guerra mundial es movilizado nuevamente para combatir en Corea.
 Grace Kelly interpreta a la esposa de William Holden.
 Buen trabajo de Mickey Rooney."
2233,ESPIA POR MANDATO,Suspenso,William Holden,Lili Palmer,Hugh Griffith,George Seaton,1962,Color,DVD,"16-05-1963 18 de Julio, Censa
 Un empresario del petróleo es reclutado por los aliados para espiar a los alemanes. Por su imagen de colaborador de los nazis va perdiendo a sus amigos y obteniendo información de la producción alemana. Por esa razón tiene que huir antes de ser descubierto."
2221,EL AGUILA Y EL HALCON (Cerco de fuego),Western,John Payne,Rhonda Fleming,Dennis O'Keefe,Lewis Foster,1950,Color,DVD,"1-04-1952 Eliseo
En 1863, un Texas ranger va a México con un espía del ejército de la Unión, para investigar que planean un jefe mexicano vinculado a Juárez y un norteamericano que está reuniendo  hombres de la peor calaña y comprando gran cantidad de armas."
2234,HATARI,Aventuras,John Wayne,Elsa Martinelli,Hardy Kruger,Howard Hawks,1961,Color,DVD,"4-04-1963 Censa, 18 de Julio
 John Wayne encabeza un grupo de extraordinarios cazadores profesionales en Africa capturando animales para zoológicos y atracciones circenses."
2235,McLINTOCK !,Western,John Wayne,Maureen O'Hara,Stefanie Powers,Andrew V. McLaglen,1963,Color,DVD,"6-06-1964 Plaza
 La esposa de McLintock regresa al rancho después de un tiempo alejada de él con el fin de estar con su hija que también regresa al hogar paterno. Correcta comedia muy grata de ver con admirables interpretaciones de la pareja protagonista."
2236,LOS 3 SARGENTOS,Western,Frank Sinatra,Dean Martin,Sammy Davis,John Sturges,1962,Color,DVD,"20-09-1962 Trocadero
  Tres sargentos de la caballería participan en el asentamiento de un fuerte y harán frente al ataque de los indios.
  Adaptación de la aventura colonialista Gunga Din (1939) al lejano oeste."
2237,LA CALLE SIN LEY,Western,Randolph Scott,Angela Lansbury,Warner Anderson,Joseph H. Lewis,1955,Color,DVD,"27-11-1956 Ambassador
  Scott es un abogado que va de cudad en ciudad acabando con los criminales. Su esposa, Lansbury, resuelve abandonarlo hasta que no se aleje definitivamente de las armas. Pero el está decidido  a una íltima tarea."
1142,COLT 45,Western,Randolph Scott,Ruth Roman,Lloyd Bridges,Edwin L. Marin,1950,Color,DVD,"5-02-1953 Plaza
   Un representante de las armas Colt está exhibiendo su muestrario a un sheriff cuando un detenido se fuga llavándose dos revolveres. El vendedor irá tras el forajido para recuperar las armas y demostrar su inocencia."
260,"SMITH, EL SILENCIOSO",Western,Alan Ladd,Brenda Marshal,Robert Preston,Leslie Fenton,1948,Color,DVD,
1115,LA ISLA MISTERIOSA,Aventuras,Michael Craig,Joan Greenwood,Michael Callan,Cy Endfield,1961,Color,DVD,25-12-1961 Central
2241,EL HOMBRE DE RIO MALO,Western,Lee Van Cleef,James Mason,Gina Lollobrigida,Eugenio Martin,1971,Color,DVD,"23-08-1973 Nuevo Liberty
Una banda de forajidos juega a dos bandas ofreciendo sus servicios tanto a los revolucionarios mejicanos como a los mandos gubernamentales. Todo va bien hasta que King tropieza con la guapa Alicia, una aventurera de profesión y, además, coleccionista de maridos."
2242,LOS BUCANEROS,Aventuras,Yul Brynner,Charles Boyer,Charlton Heston,Anthony Quinn,1958,Color,DVD,"26-03-1960 Trocadero, Ariel
En 1812 Estados Unidos y Gran Bretaña están en guerra y luchan por el control de Nueva Orleans. El bucanero Laffitte tiene controlada una pequeña isla y duda a que bando apoyar."
2243,DESCALZOS EN EL PARQUE,Comedia,Robert Redford,Jane Fonda,Charles Boyer,Gene Saks,1967,Color,DVD,"4-05-1968 18 de Julio
Neil Simon adptó su propia obra de teatro.
Un joven y conservador abogado se ha casado con Jane Fonda que se dedica a pasar la vida lo mejor posible.
  Cuando termina la luna de miel pasan a vivir en un quinto piso sin ascensor y la armonía del matrimonio comienza a resentirse. La felicidad se convierte en un gracioso drama, mientras el vecino del apartamento de arriba flirtea con la madre de uno de ellos.
  A medida que transcurre el film nadie duda que existirá un final feliz .
  Un clásico."
2244,SUEÑOS DE LIBERTAD,Drama,Tim Robbins,Morgan Freeman,Bob Gunton,Frank Darabont,1994,Color,DVD,"11-08-1995 Cinemetro, Opera
Un inocente es condenado a cadena perpetua por un crimen que no cometió.Se plantea un plan de fuga.
""Nos absorbe y transporta fuera de la conciencia de que estamos viendo una película, al verla nuevamente, llegué a admirarla incluso mas que la primera vez""  Roger Ebert, Chicago Sun-times"
2245,CANCION DEL SUR,Familiar,Lucile Watson,Ruth Warrick,Hattie McDaniel,Harve Foster,1946,Color,DVD,"6-07-1948 Coventry
Personajes reales combinados con animación en esta historia que se desarrolla en el viejo Sur antes de la guerra civil."
2246,LA LEGION DEL DESIERTO,Aventuras,Alan Ladd,Arlene Dahl,Richard Conte,Joseph Pevney,1953,Color,DVD,"7-06-1954 El Polvorín, Iguazú
Un legionario sobrevive a un ataque sorpresa, luego de deambular por el desierto se despierta en una paradisíaca ciudad gobernada por una bella princesa. Cuando regresa a su cuartel ninguno de sus superiores da crédito a sus palabras"
2253,LOS ASESINOS (The killers),Cine Negro,Burt Lancaster,Ava Gardner,Edmond O'Brian,Robert Siodmak,1946,B&N,DVD,"5-02-1947 Trocadero
La película narra la historia de El Sueco (Burt Lancaster),un boxeador retirado debido a una lesión en su mano derecha y a quien el destino, en forma de una bella mujer Kitty (Ava Gardner) le conduce a la carcel por tres años, después a la participación en un atraco y, por último a la traición y la muerte."
811,EL TESORO DE MATECUMBE,Familiar,Peter Ustinov,Robert Foxworth,Joan Hackett,Vincent McEveety,1976,Color,DVD,10-10-1979 Iguazú
2247,EL PERRO HUMANO(The Shaggy Dog),Comedia,Fred MacMurray,Jean Hagen,Tommy Kirk,Charles Barton,1959,Color,DVD,17-05-1962 Ariel
2248,SPACE JAM,Ciencia Ficción,Michael Jordan,Wayne Knight,Bugs Bunny,Joe Pytka,1996,Color,DVD,"3-01-1997 Plaza,Alfa Beta, Carrasco, P. Carretas"
2249,ESCANDALO EN BOHEMIA,Policial,Matt Frewer,Kenneth Walsh,Liliana Komorowska,Rodney Gibbons,2001,Color,DVD,"TV Movie
El rey de Bohemia, que está prometido con una princesa escandinava, está siendo chantajeado por la famosa estrella de ópera Irene Adler. La soprano tiene una fotografía de ambos en posición comprometedora.
  Watson cree que un caso de chantaje sexual  no está a la altura del talento del detective mas famoso del mundo, pero Holmes opina de otro modo."
2255,EL AUDAZ (The Hustler),Cine Negro,Paul Newman,Jackie Gleason,GeorgeScott,Robert Rossen,1961,B&N,DVD,17-05-1962 Censa
2250,HABIA UNA VEZ EN HOLLYWOOD,Drama,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Quentin Tarantino,2019,Color,DVD,"15-08-2019 Grupo Cine, Movie Center"
2251,GUASON,Drama,Joaquin Phoenix,Robert de Niro,Zazie Beetz,Todd Phillips,2019,Color,DVD,"3-10-2019 Grupo Cine, Movie Center"
2252,MUJERCITAS,Drama,Wynona Ryder,Gabriel Byrne,Susan Sarandon,Gillian Armstrong,1994,Color,DVD,"26-05-1995 Mdeo Shopping, Carrasco"
2256,ENTRE NAVAJAS Y SECRETOS (Knives out),Suspenso,Michael Craig,Chris Evans,Ana de Armas,Rian Johnson,2019,Color,DVD,
2254,TARZAN Y EL VALLE DE ORO,Aventuras,Mike Henry,David Opatoshu,Nancy Kovack,Robert Day,1966,Color,DVD,"No estrenada en salas.
Tarzan es llamado a Méjico donde tiene que combatir a un inescrupuloso y falso arqueologo que en realidad busca encontrar el oro de una tribu perdida."
2259,CHEYENNE SOCIAL CLUB,Western,James Stewart,Henry Fonda,Shirley Jones,Gene Kelly,1970,Color,DVD,"198-06-1972 California
 Una persona madura recibe como herencia elCheyenne Social Club. Cuando llega allí, comprueba que es un burdel."
2258,LOS MALVADOS DE FIRECREECK,Western,James Stewart,Henry Fonda,Inger Stevens,Vincent McEveety,1967,Color,DVD,"2-02-1969 18 de Julio
 Una banda de pistoleros llega a Firecreeck, el sheriff les hará frente."
2263,MARLEY Y YO,Comedia,Owen Wilson,Jennifer Aniston,Kathleen Turner,David Frankel,2008,Color,DVD,"30-01-2009 Movie Center, Grupo Cine"
2264,CUANDO ELLAS QUIEREN (Book Club),Comedia,Diane Keaton,Jane Fonda,Candice Bergen,Bill Holderman,2018,Color,DVD,"14-06-2018 Grupo Cine, Movie Center"
2262,CITA CON LA MUERTE,Policial,Peter Ustinov,Lauren Bacall,Piper Laurie,Michael Winner,1988,Color,DVD,18-05-1989 Nuevo 18
2265,THE BAND WAGON,Musical,Fred Astaire,Cyd Charisse,Oscar Levant,Vincente Minelli,1953,Color,DVD,11-05-1954 Metro
2266,THEY RODE WEST (Pluma Blanca),Western,Robert Francis,Donna Reed,Phil Carey,Phil Karlson,1954,Color,DVD,"10-01-1956 Victory
  Cuando una epidemia de malaria golpea a un campamento de indios de la tribu Kiowa, Allen Seward, un joven doctor del ejército, acude para intentar ayudarlos. El comandante del fuerte se enfrenta con Seward, ya que no está de acuerdo con la actitud del médico."
352,LOS INCONQUISTABLES,Western,Gary Cooper,Paulette Goddard,Boris Karloff,Cecil B. De Mile,1946,Color,DVD,1-12-1948 Grand Palace
2260,"MALEFICA , DUEÑA DEL MAL",Ciencia Ficción,Angelina Jolie,Elle Fanning,Harris Dickinson,Joachim Running,2019,Color,DVD,17-10-2019
2261,TOY STORY 4,Dibujos Animados,Tom Hanks,Tim Allem,Annie Patts,Josh Cooley,2019,Color,DVD,"20-06-2019 Grupo Cine, Moviecenter
323.334 espectadores. Es la película más taquillera en toda la historia en Uruguay-"
2273,BRAM STOCKER´S DRACULA,Terror,Gary Oldman,Winona Ryder,Anthony Hopkins,Francias Ford Coppola,1992,Color,DVD,"25-12-1992 Trocadero, Beta"
2267,MUJERCITAS,Drama,Katharine Hepburn,Joan Bennet,Paul Lukas,George Cukor,1933,B&N,DVD,"23-06-1934 Rex
""La versión definitiva. Dulce, divertida, con el mejor elenco.""
Tom Milne, Time Out Filme Guide
Existen tres versiones más de 1949, 1994 y 2019."
2278,NAVIDADES TRAGICAS,Suspenso,David Suchet,Philip Jackson,Vernon Dobtchoff,Edward Bonnett,1994,Color,DVD,Serie TV
2279,ASESINATO EN LA CALLE HICKORY,Suspenso,David Suchet,Philip Jackson,Pauline Moran,Andrew Grieve,1995,Color,DVD,Serie TV
2275,RAWHIDE (Temporada 1),Western,Clint Eastwood,Eric Fleming,Paul Brinegar,Varios,1959,B&N,DVD,
2280,ASESINATO EN EL CAMPO DE GOLF,Suspenso,David Suchet,Hugh Fraser,Diane Fletcher,Andrew Grieve,1996,Color,DVD,Serie TV
2281,EL TESTIGO MUDO,Suspenso,David Suchet,Hugh Fraser,Ann Morrish,Edward Bennett,1996,Color,DVD,Serie TV
2268,EL GRAN PECADOR,Drama,Gregory Peck,Ava Gardner,Melvyn Douglas,Robert Siodmak,1949,B&N,DVD,"8-06-1950 Metro
Un escritor acaba transformándose en un jugador empedernido.Se debatirá entre las buenas intenciones de una mujery su pasión por el juego."
2269,LA NOCHE DE LA IGUANA,Drama,Richard Burton,Ava Gardner,Deborah Kerr,John Huston,1964,B&N,DVD,"3-09-1964 Metro, 18 de Julio, Ambassador
   En una ciudad costera de Méjico un pastor lucha por rehacer su vida. Tres mujeres pueden ayudar a salvarlo o destruirlo.
  Un reparto sobresaliente encabezado por Richard Burton,Ava Gardner y Déborah Kerr."
2271,CAUTIVOS DEL MAL,Drama,Kirk Douglas,Lana Turner,Dick Powell,Vincente Minnelli,1952,B&N,DVD,"30-07-1953 Metro
Un tiránico y manipulador productor de cine (Douglas) que ha caido en desgracia, pide ayuda a un director (Sullivan), a una actriz (Turner) y un guionista (Powell), a los que ayudó a triunfar, pero los tres tienen varias razones para detestarlo.Los tres le reprocharán su falta de escrúpulos para alcanzar el éxito sin reparar en las personas a las que traicionaba y engañaba."
2272,JUEGO MORTAL (SLEUTH),Suspenso,Laurence Olivier,Michael Caine,Alec Cawthorne,Joseph L Mankiewicz,1972,Color,DVD,"27-09-1973 Ariel
Andrew Wyke (Olivier) es un famoso escritor de novelas de misterio con pasión por los juegos y las adivinanzas. MiloTindle (Caine) es un presumido propietario de una cadena de salones de belleza.
  Una tarde Andrew invita a Milo a tomar unos cócteles en su masión. Al principio Milo disfruta  con su visita hasta que Andrew admite estar al corriente de que su esposa Marguerite y Milo son amantes. Para sorpresa de este, Andrew no parace estar muy enojado y le propone una solución de la que ambos pueden beneficiarse.
   Lo que parecía ser un amigable encuentro entre caballeros se convierte en un juego de persuasión e intriga.
   Obtuvo cuatro nominaciones al Oscar, Mejor Actor (ambos actores nominados), Mejor Director y Mejor Banda Sonora"
2270,MAGNIFICA OBSESION (Sublime Obsesion),Drama,Jane Wyman,Rock Hudson,Agnes Moorehead,Douglas Sirk,1954,Color,DVD,"11-04-1955 Trocadero, Eliseo"
2274,CALABROMAS,Comica,Juan Carlos Calabró,Patricia Dal,Ileana Calabro,Carlos Colasurto,0,Color,DVD,
2276,GUNSMOKE (la ley del revolver) T 1,Western,James Arness,Milburno Stone,Amanda Blake,Varios,1955,B&N,DVD,
2277,LA ODISEA DE LOS GILES,Comedia,Ricardo Darín,Luis Brandoni,Chino Darin,Sebastian Boresztein,2019,Color,DVD,"22-08-2019. Grupo cine, Life, Movie Center"
2283,MUERTE EN LA NUBES,Suspenso,David Suchet,Philip Jackson,Sarah Woodward,Stephen Whittaker,1992,Color,DVD,Serie TV
2282,EL MISTERIO DE LA GUIA DE FERROCARRILES,Suspenso,David Suchet,Hugh Fraser,Philip Jackson,Andrew Grieve,1992,Color,DVD,Serie TV
2284,LA MUERTE VISITA AL DENTISTA,Suspenso,David Suchet,Philip Jackson,Joanna Phillips,Ross Devenish,1992,Color,DVD,Serie TV
2285,4:50 FROM PADDINGTON,Suspenso,Joan Hickson,Juliette Mole,David Beames,Martin Fryend,1987,Color,DVD,
2287,A POCKETFFUL OF RYE,Suspenso,Joan Hickson,Timothy West,Fabia Drake,Guy Slater,1985,Color,DVD,
2288,THE MURDER AT THE VICARAGE,Suspenso,Joan Hickson,Paul Eddington,Cheryll Campbell,Julian Amyes,1986,Color,DVD,
2289,NEMESIS,Suspenso,Joan Hickson,Peter Tilbury,rank Gatlife,David Tucker,1987,Color,DVD,
2290,THE MOVING FINGER,Suspenso,Joan Hickson,Michael Culver,Elizabeth Camsell,Roy Boulting,1985,Color,DVD,
2291,THEY DO IT WITH MIRRORS,Suspenso,Joan Hickson,Jean Simmons,Joss Acland,Norman Stone,1991,Color,DVD,
2286,THE MIRROD CRACK'D FROM SIDE TO SIDE,Suspenso,Joan Hickson,Claire Bloom,Barry Newman,Norman Stone,1992,Color,DVD,
1050,EL FUGITIVO (SERIE TV),Drama,David Jansen,Barry Morre,Bil Raisch,varios,1963,B&N,DVD,"El Dr Richard Kimble es acusado, juzgado, encarcelado y sentenciado a muerte por el asesinato de su esposa. En el momento del traslado para ser ejecutado, el tren que lo transporta sufre un descarrilamiento y Kimble puede huir de la custodia policial. Se convierte en el fugitivo más buscado del país y desde ese momento dedica todos sus esfuerzos en encontrar al que el considera el verdadero culpable, un hombre manco con el que tuvo un enfrentamiento en el lugar que su esposa fue asesinada.
David Janssen….Dr Richard Kimble
Barry Morre…….Teniente Gerald
Bill Raisch………..Fed Johnson (el manco)"
